kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9718379,K02379.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,40.008889400,2.4240000e-04,-2.4240000e-04,141.7447500,4.910000e-03,-4.910000e-03,1.1600,70.4800,-4.0380,3.61600,0.25400,-0.25400,5.8230e+02,3.520e+01,-3.520e+01,20.75,6.050e+00,-3.020e+00,585.0,,,27.65,23.89,-10.17,20.20,1,q1_q17_dr25_tce,6237.00,176.00,-220.00,4.403,0.101,-0.188,1.0230,0.2980,-0.1490,295.065830,46.466389,15.040
3002478,K02380.01,,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,6.357053140,1.7520000e-05,-1.7520000e-05,135.4775600,2.300000e-03,-2.300000e-03,0.0230,0.4340,-0.0230,1.32400,0.10400,-0.10400,2.7220e+02,2.080e+01,-2.080e+01,1.59,4.900e-01,-1.700e-01,990.0,,,227.07,213.35,-67.79,17.30,1,q1_q17_dr25_tce,5982.00,180.00,-198.00,4.493,0.052,-0.221,0.9600,0.3000,-0.1000,294.185610,38.108669,14.216
4055774,K02381.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,6.587388390,7.8270000e-05,-7.8270000e-05,133.3576800,9.160000e-03,-9.160000e-03,0.5230,0.4460,-0.3120,4.75800,0.26600,-0.26600,2.5850e+02,1.890e+01,-1.890e+01,1.35,3.400e-01,-1.100e-01,871.0,,,136.02,103.98,-33.74,15.70,1,q1_q17_dr25_tce,5616.00,169.00,-152.00,4.564,0.032,-0.168,0.8220,0.2070,-0.0690,291.179990,39.105080,15.575
6670075,K02382.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,0.759706632,1.7310000e-06,-1.7310000e-06,131.7692000,2.360000e-03,-2.360000e-03,0.5200,0.4380,-0.3190,1.08960,0.06340,-0.06340,3.9700e+01,2.400e+00,-2.400e+00,1.38,3.700e-01,-3.000e-01,3834.0,,,51080.76,40569.52,-25473.28,21.60,1,q1_q17_dr25_tce,8621.00,235.00,-404.00,4.101,0.131,-0.160,2.0940,0.5640,-0.4620,284.032930,42.168709,12.438
9395024,K02383.01,Kepler-1216 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,4.370332330,2.0220000e-05,-2.0220000e-05,131.9269600,3.880000e-03,-3.880000e-03,0.0930,0.3540,-0.0930,2.84500,0.12600,-0.12600,1.7780e+02,1.150e+01,-1.150e+01,1.56,2.400e-01,-2.400e-01,1191.0,,,475.39,192.38,-153.04,17.70,1,q1_q17_dr25_tce,5657.00,76.00,-76.00,4.282,0.156,-0.104,1.1820,0.1820,-0.1820,287.405330,45.918011,15.133
8631751,K02453.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,1.530515205,1.6770000e-06,-1.6770000e-06,131.8675060,9.130000e-04,-9.130000e-04,0.8820,0.0590,-0.6620,0.59450,0.05280,-0.05280,6.5970e+02,3.050e+01,-3.050e+01,0.84,1.700e-01,-1.500e-01,608.0,,,32.46,19.25,-11.82,23.20,1,q1_q17_dr25_tce,3462.00,76.00,-69.00,5.004,0.065,-0.065,0.2590,0.0540,-0.0440,294.468480,44.753960,15.630
11401822,K02454.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,1,1.080702940,1.0820000e-05,-1.0820000e-05,131.8668600,6.540000e-03,-6.540000e-03,0.6880,0.2590,-0.4740,3.36300,0.25000,-0.25000,1.4560e+02,1.010e+01,-1.010e+01,1.04,2.300e-01,-1.100e-01,1565.0,,,1419.52,1003.16,-445.87,17.60,1,q1_q17_dr25_tce,5482.00,199.00,-199.00,4.539,0.057,-0.133,0.8130,0.1760,-0.0880,291.286320,49.243080,15.986
6507427,K02455.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,0,1,4.742545180,1.7090000e-05,-1.7090000e-05,133.1391600,3.060000e-03,-3.060000e-03,0.0510,0.3970,-0.0500,1.02300,0.11500,-0.11500,3.0570e+02,3.380e+01,-3.380e+01,1.77,5.000e-01,-2.000e-01,1118.0,,,369.34,310.58,-117.36,13.20,1,q1_q17_dr25_tce,6046.00,169.00,-211.00,4.478,0.048,-0.192,1.0070,0.2860,-0.1140,286.507390,41.922131,14.413
5521300,K02456.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,18.135599790,7.7600000e-05,-7.7600000e-05,138.3155700,3.480000e-03,-3.480000e-03,1.1940,69.1600,-0.3300,2.01900,0.18500,-0.18500,4.5270e+02,3.440e+01,-3.440e+01,24.49,7.830e+00,-2.620e+00,744.0,,,72.36,68.31,-22.30,16.40,1,q1_q17_dr25_tce,6184.00,172.00,-216.00,4.448,0.054,-0.202,1.0380,0.3320,-0.1110,287.760830,40.742771,14.990
8478994,K00245.04,Kepler-37 e,CONFIRMED,FALSE POSITIVE,,1,0,0,0,51.206903030,,,195.7303000,,,,,,8.99000,,,,,,,,,,,,,,,,,,,,,,,,,,,284.059540,44.518215,9.705
